msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
4915.0,0.5,3.82,53.21,1.91,59.43
4916.0,0.51,3.91,53.86,2.2,60.46
4917.0,0.51,3.91,49.8,2.09,56.3
4918.0,0.51,3.83,51.51,1.97,57.83
4919.0,0.51,3.83,63.71,2.23,70.29
4920.0,0.52,3.73,56.26,2.37,62.87
4921.0,0.52,3.73,54.39,1.89,60.53
4922.0,0.53,3.7,55.84,2.25,62.31
4923.0,0.53,3.7,66.97,1.63,72.82
4924.0,0.52,3.72,54.49,1.64,60.37
4925.0,0.52,3.72,52.76,1.84,58.84
4926.0,0.52,4.04,51.13,2.08,57.77
4927.0,0.52,4.04,53.46,2.6,60.63
4928.0,0.5,3.82,52.79,2.09,59.2
4929.0,0.5,3.82,49.56,2.22,56.09
4930.0,0.5,3.77,57.87,2.19,64.33
4931.0,0.5,3.77,51.62,2.26,58.14
4932.0,0.54,3.75,50.09,1.67,56.05
4933.0,0.54,3.75,51.06,1.73,57.08
4934.0,0.53,3.77,50.83,1.97,57.1
4935.0,0.53,3.77,48.82,2.62,55.74
4936.0,0.52,3.72,49.14,2.57,55.95
4937.0,0.52,3.72,59.18,1.95,65.37
4938.0,0.53,3.77,51.77,2.11,58.18
4939.0,0.53,3.77,64.65,1.93,70.88
4940.0,0.52,3.94,58.51,1.94,64.91
4941.0,0.52,3.94,71.54,1.9,77.9
4942.0,0.53,3.83,50.65,1.28,56.3
4943.0,0.53,3.83,49.11,1.99,55.47
4944.0,0.51,3.76,73.12,2.21,79.6
4945.0,0.51,3.76,49.69,2.69,56.66
4946.0,0.53,3.8,52.52,2.54,59.38
4947.0,0.53,3.8,48.47,1.74,54.53
4948.0,0.47,3.83,61.0,2.43,67.74
4949.0,0.47,3.83,48.13,2.07,54.51
4950.0,0.53,3.76,49.34,2.31,55.93
4951.0,0.53,3.76,53.21,1.77,59.26
4952.0,0.52,3.69,55.96,2.1,62.27
4953.0,0.52,3.69,51.87,2.14,58.22
4954.0,0.5,3.76,52.08,2.26,58.6
4955.0,0.5,3.76,50.51,2.02,56.79
4956.0,0.54,3.69,56.2,2.36,62.79
4957.0,0.54,3.69,55.6,1.91,61.74
4958.0,0.52,4.28,50.86,2.07,57.72
4959.0,0.52,4.28,50.61,1.87,57.27
4960.0,0.53,3.71,57.75,2.34,64.33
4961.0,0.53,3.71,53.36,1.79,59.38
4962.0,0.52,3.67,51.01,1.93,57.13
4963.0,0.52,3.67,58.04,1.83,64.05
4964.0,0.51,3.65,196.08,1.86,202.11
4965.0,0.51,3.65,51.18,1.89,57.23
4966.0,0.5,3.78,63.67,1.99,69.93
