msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
695.0,9.81,94.82,79.89,1.46,185.98
696.0,11.42,160.28,98.39,1.47,271.57
697.0,9.66,230.72,94.95,2.39,337.71
698.0,10.4,174.33,98.91,5.16,288.8
699.0,10.03,4.82,111.55,1.76,128.15
700.0,12.32,4.13,87.88,0.93,105.26
701.0,11.61,70.33,86.4,1.87,170.21
702.0,10.34,5.79,101.81,0.8,118.75
703.0,9.97,4.88,86.42,2.4,103.67
704.0,10.54,28.64,128.86,3.68,171.72
705.0,10.58,159.73,95.9,1.9,268.12
706.0,9.73,78.52,97.56,1.85,187.66
707.0,10.17,168.9,94.29,4.13,277.49
708.0,11.44,162.46,97.72,4.15,275.77
709.0,12.51,7.02,79.38,1.37,100.28
710.0,13.29,68.83,95.54,1.3,178.95
711.0,13.13,152.39,106.57,1.6,273.68
712.0,11.78,93.93,104.07,2.17,211.95
713.0,11.3,5.06,80.9,3.06,100.32
714.0,11.18,39.72,96.54,2.35,149.78
715.0,14.46,117.9,94.93,1.87,229.16
716.0,11.15,43.35,95.46,1.06,151.03
717.0,10.69,85.19,86.99,1.22,184.09
718.0,10.26,9.01,68.26,1.61,89.13
719.0,11.63,6.35,109.0,1.56,128.53
720.0,13.29,8.12,127.84,2.29,151.55
721.0,10.48,8.61,93.09,1.41,113.59
722.0,11.04,80.56,80.89,1.16,173.65
723.0,32.01,116.92,91.8,1.26,241.99
724.0,10.24,20.5,86.8,1.6,119.14
725.0,11.3,14.7,100.72,1.24,127.96
726.0,10.28,51.92,94.69,1.9,158.79
727.0,10.49,46.64,123.14,1.4,181.68
728.0,11.81,5.77,140.98,1.59,160.16
729.0,11.13,8.12,92.12,1.33,112.7
730.0,19.68,5.6,94.99,1.36,121.63
731.0,10.58,5.39,62.38,1.29,79.65
732.0,10.02,61.0,93.72,2.79,167.54
733.0,14.58,153.62,92.74,1.63,262.57
734.0,10.83,5.07,102.01,1.59,119.5
735.0,11.44,6.65,85.61,1.05,104.75
736.0,11.17,4.53,81.77,1.87,99.34
737.0,10.2,79.05,126.67,1.02,216.94
738.0,10.79,5.95,89.84,1.62,108.21
739.0,10.24,70.2,78.74,1.66,160.84
740.0,10.01,4.79,83.38,1.02,99.2
741.0,10.1,7.49,78.88,1.61,98.09
742.0,10.81,75.62,101.32,1.11,188.86
743.0,9.85,79.82,75.92,1.07,166.66
744.0,10.43,5.47,76.65,0.92,93.48
745.0,10.0,68.67,74.25,1.61,154.54
746.0,10.73,4.02,90.02,0.99,105.76
747.0,11.23,77.62,86.01,0.98,175.83
748.0,12.38,10.78,76.69,1.29,101.15
749.0,11.7,6.67,86.02,1.47,105.85
750.0,9.94,5.61,91.05,1.82,108.42
751.0,10.3,3.69,84.12,1.15,99.27
752.0,10.15,4.5,69.15,2.16,85.96
753.0,10.55,17.87,102.38,3.45,134.25
754.0,10.31,5.66,71.55,1.75,89.28
755.0,11.16,49.58,80.23,1.34,142.3
756.0,10.72,5.19,84.03,4.4,104.34
757.0,12.1,26.29,87.18,2.25,127.82
758.0,10.81,6.65,71.02,1.14,89.63
759.0,11.38,34.41,99.0,2.62,147.42
760.0,12.1,4.53,103.99,2.78,123.4
761.0,10.1,64.61,99.49,2.13,176.33
762.0,10.55,3.68,103.57,2.3,120.11
763.0,11.19,60.36,101.67,2.13,175.34
764.0,11.22,9.0,97.63,1.33,119.19
765.0,14.89,11.85,100.94,1.22,128.9
766.0,12.16,4.06,67.5,4.38,88.11
767.0,11.13,4.18,73.64,1.71,90.66
768.0,10.95,5.35,108.88,1.61,126.79
769.0,17.4,71.13,75.05,1.37,164.95
770.0,14.63,10.4,62.78,1.3,89.11
771.0,11.74,5.9,91.07,1.17,109.88
772.0,10.85,98.71,89.69,1.36,200.6
773.0,10.89,56.58,91.82,1.82,161.1
774.0,11.45,4.69,81.64,1.0,98.78
775.0,10.76,4.75,87.31,1.26,104.08
776.0,14.31,24.94,83.78,2.79,125.82
777.0,11.52,5.67,95.42,1.6,114.22
778.0,10.58,7.65,91.59,1.56,111.39
779.0,10.71,4.4,99.23,1.32,115.66
780.0,10.08,85.48,73.15,1.05,169.76
781.0,11.29,147.73,84.29,1.17,244.49
782.0,13.0,88.57,72.15,1.37,175.09
783.0,11.5,122.14,88.08,1.37,223.09
784.0,12.57,8.01,98.92,1.65,121.15
785.0,10.34,5.19,102.32,2.17,120.02
786.0,11.78,87.71,101.23,1.45,202.16
787.0,10.71,4.85,69.86,1.98,87.41
788.0,11.3,3.12,64.73,3.3,82.45
789.0,13.26,6.21,105.21,2.71,127.39
790.0,10.34,85.6,97.42,1.77,195.14
791.0,16.37,181.2,93.97,1.38,292.92
792.0,10.53,198.98,91.31,1.37,302.19
793.0,11.49,143.3,85.95,1.01,241.74
794.0,16.43,118.62,82.67,1.53,219.25
795.0,10.69,3.33,87.62,1.79,103.43
796.0,10.85,8.09,83.47,1.65,104.06
797.0,11.04,8.36,95.97,8.67,124.05
798.0,10.0,4.98,107.45,1.21,123.65
799.0,10.09,103.15,137.32,3.58,254.14
800.0,10.01,206.37,96.31,2.01,314.7
801.0,10.33,244.54,96.08,1.84,352.79
802.0,10.93,326.54,104.34,1.89,443.7
803.0,10.65,4.83,88.47,1.31,105.26
804.0,11.72,26.82,92.17,1.25,131.96
805.0,10.95,123.96,91.05,2.16,228.12
806.0,10.18,4.56,90.77,1.5,107.01
807.0,10.07,5.76,103.18,1.27,120.28
808.0,10.67,4.13,96.39,2.04,113.23
809.0,11.95,96.88,100.67,1.54,211.05
810.0,14.21,167.85,103.87,1.07,287.01
811.0,11.56,173.42,104.16,2.11,291.25
812.0,12.13,270.07,109.21,1.84,393.24
813.0,11.76,40.28,103.2,3.56,158.8
814.0,12.13,146.97,98.32,1.41,258.83
815.0,14.24,250.46,86.15,3.37,354.22
816.0,10.68,4.21,110.33,1.5,126.72
817.0,10.87,4.39,105.89,1.48,122.62
818.0,11.53,3.14,91.73,1.42,107.82
819.0,10.68,8.99,108.44,1.75,129.87
820.0,11.38,4.68,112.55,1.23,129.84
821.0,16.49,113.37,98.97,2.01,230.84
822.0,10.39,194.28,99.12,2.63,306.42
823.0,11.18,80.39,109.71,2.85,204.14
824.0,13.2,39.01,108.52,2.04,162.78
825.0,10.43,94.33,73.52,1.56,179.84
826.0,12.52,11.82,100.1,1.63,126.07
827.0,12.64,113.83,78.88,1.64,206.98
828.0,10.46,4.22,69.36,1.22,85.26
829.0,10.48,4.51,91.22,2.36,108.57
830.0,11.7,4.69,87.6,1.37,105.36
831.0,10.44,6.1,88.59,2.17,107.29
832.0,10.57,75.7,77.65,1.48,165.4
833.0,10.18,64.49,81.83,1.18,157.68
834.0,11.87,5.07,77.56,1.68,96.18
835.0,12.0,72.69,80.47,1.2,166.36
836.0,10.51,4.34,100.37,1.52,116.75
837.0,10.64,4.04,100.16,1.94,116.78
838.0,11.62,4.78,86.84,1.15,104.4
839.0,10.29,4.72,68.23,1.14,84.38
840.0,11.4,72.36,85.46,2.44,171.66
841.0,10.6,3.85,76.88,1.55,92.88
842.0,11.38,4.38,83.28,1.5,100.54
843.0,11.07,16.5,96.61,1.53,125.71
844.0,12.13,6.27,88.02,1.35,107.77
845.0,10.89,32.95,88.66,1.12,133.62
846.0,10.68,3.42,105.47,1.5,121.06
847.0,10.46,4.87,92.97,1.51,109.81
848.0,10.48,4.18,62.22,1.45,78.32
849.0,10.28,4.57,63.98,3.29,82.12
850.0,16.6,6.01,101.03,1.42,125.07
851.0,10.97,5.89,94.74,1.47,113.07
852.0,10.37,69.27,93.81,1.37,174.82
853.0,10.4,4.76,88.38,1.43,104.97
854.0,10.49,48.25,90.72,1.78,151.25
855.0,11.69,48.28,110.56,2.49,173.02
856.0,10.88,6.47,105.28,1.92,124.56
857.0,10.95,4.96,86.05,0.86,102.81
858.0,10.47,6.3,102.95,2.25,121.97
859.0,11.03,3.8,109.56,2.56,126.95
860.0,9.72,4.4,96.25,1.35,111.72
861.0,11.82,84.26,82.36,1.69,180.13
862.0,10.71,140.55,97.53,1.53,250.32
863.0,10.7,8.09,83.95,1.42,104.17
864.0,12.83,5.25,75.05,1.57,94.69
865.0,12.43,73.62,100.61,2.04,188.71
866.0,12.83,142.99,98.4,1.79,256.02
867.0,11.28,4.58,114.17,1.96,131.98
868.0,9.77,98.49,95.86,2.1,206.23
869.0,10.62,5.39,94.6,1.53,112.14
870.0,10.8,5.18,98.96,1.51,116.45
871.0,10.06,14.78,114.71,1.84,141.4
872.0,12.73,5.25,100.45,1.63,120.06
873.0,11.7,4.67,93.84,1.33,111.54
874.0,10.53,95.98,88.27,1.47,196.24
875.0,10.5,177.21,98.35,2.7,288.76
876.0,10.22,261.98,96.67,1.51,370.38
877.0,11.04,46.53,94.69,2.16,154.43
878.0,10.32,114.58,96.07,2.61,223.6
879.0,10.83,11.22,88.09,1.54,111.67
880.0,11.49,40.2,104.4,1.21,157.31
881.0,10.46,4.89,109.94,1.97,127.26
882.0,10.54,61.58,105.54,2.23,179.89
883.0,9.9,6.85,93.42,1.81,111.98
884.0,11.11,60.92,88.21,1.02,161.25
885.0,13.58,86.31,87.43,1.45,188.76
886.0,19.03,112.76,76.67,1.54,210.01
887.0,11.97,7.11,76.84,1.33,97.26
888.0,10.93,5.73,78.6,2.99,98.25
889.0,12.24,15.86,74.76,1.37,104.23
890.0,10.86,73.48,77.04,1.59,162.97
891.0,10.27,4.58,87.77,1.39,104.01
892.0,10.51,5.03,110.31,1.95,127.8
893.0,10.29,3.14,74.04,2.34,89.81
894.0,10.82,5.55,73.53,1.35,91.24
895.0,11.76,5.27,94.72,1.38,113.13
896.0,13.4,6.92,107.13,1.57,129.02
897.0,11.69,47.38,98.47,3.88,161.41
898.0,11.51,8.54,74.92,1.64,96.6
