tx_brate downlink (kbps),rx_brate uplink (kbps),sum_requested_prbs,slice_target
16.48,0.0,26,2
39.9036,100.0,214,1
16.0643,100.0,68,2
987.9839999999999,0.0,389,0
59.0522,0.0,500,0
43.296,0.0,211,1
8.86747,0.0,15,2
5.664,100.0,14,2
16.0,0.0,52,2
15.296000000000001,100.0,326,2
124.57600000000001,0.0,63,0
102.62400000000001,0.0,250,0
15.456,0.0,9,2
15.456,0.0,12,2
5.78313,0.0,10,2
12.831999999999999,0.0,47,2
58.176,0.0,63,1
67.488,0.0,392,1
29.503999999999998,0.0,86,2
7.648000000000001,0.0,66,1
98.496,0.0,1494,0
22.56,100.0,245,2
0.0,0.0,335,1
56.928,0.0,114,1
8.12851,0.0,150,2
20.6908,0.0,15,1
831.3249999999999,0.0,500,0
22.944,0.0,88,1
33.156600000000005,0.0,51,2
26.7952,100.0,29,1
10.911999999999999,0.0,19,2
43.04,0.0,47,1
1291.1200000000001,0.0,684,0
84.2088,100.0,250,0
32.224000000000004,0.0,46,1
10.751999999999999,100.0,10,2
262.624,100.0,255,0
31.584,0.0,408,1
11.072000000000001,0.0,11,2
86.464,100.0,232,0
20.608,0.0,16,1
0.0,0.0,500,0
46.336000000000006,0.0,536,1
63.007999999999996,0.0,88,1
25.215999999999998,0.0,200,2
5.664,0.0,8,2
16.0321,0.0,16,2
13.92,0.0,231,2
0.0,0.0,1500,0
10.304,0.0,27,2
10.72,0.0,33,2
58.538199999999996,0.0,200,1
16.578300000000002,100.0,17,2
50.912,0.0,94,1
10.304,100.0,15,2
52.3695,0.0,42,1
227.648,0.0,500,0
299.456,100.0,500,0
20.96,0.0,27,1
52.992,0.0,423,1
37.28,0.0,77,1
6.88,0.0,13,2
16.256,0.0,14,2
435.213,100.0,500,0
5.28,0.0,10,2
75.52000000000001,0.0,108,1
0.0,0.0,500,2
16.416,0.0,9,2
21.718899999999998,0.0,142,2
11.168000000000001,0.0,40,2
11.424,0.0,372,0
16.48,0.0,384,2
10.911999999999999,0.0,12,2
14.8755,0.0,14,2
10.496,0.0,16,2
849.8879999999999,100.0,250,0
10.463999999999999,0.0,16,2
37.236900000000006,100.0,33,1
51.68,0.0,538,1
37.952,0.0,114,1
0.0,0.0,487,2
0.0,0.0,500,0
406.56,0.0,249,0
20.7229,100.0,129,2
5.36546,0.0,10,2
775.616,0.0,250,0
10.304,0.0,62,2
5.5360000000000005,0.0,7,2
10.815999999999999,0.0,94,2
37.6546,100.0,28,1
5.3759999999999994,0.0,10,2
20.8,0.0,25,1
16.32,100.0,27,2
10.88,0.0,50,2
0.0,0.0,498,0
59.6948,0.0,392,1
5.152,0.0,4,2
159.10399999999998,0.0,500,0
60.128,0.0,75,1
5.152,0.0,4,2
17.184,0.0,67,2
5.248,0.0,7,2
28.128,0.0,46,1
22.9076,0.0,61,1
10.975999999999999,0.0,13,2
42.912,0.0,154,1
20.896,0.0,29,2
85.3976,100.0,250,0
37.696,0.0,284,1
10.944,0.0,64,2
56.224000000000004,0.0,112,1
10.56,0.0,12,2
852.896,0.0,1189,0
10.666699999999999,100.0,6,2
19.52,0.0,109,0
26.666700000000002,0.0,77,1
23.36,0.0,290,2
5.4079999999999995,0.0,4,2
17.1566,0.0,59,2
32.032,0.0,28,1
21.631999999999998,0.0,41,2
32.6104,100.0,250,0
22.008,100.0,362,2
5.343999999999999,100.0,3,2
26.1205,0.0,41,1
138.976,100.0,273,0
54.6185,0.0,246,1
26.752000000000002,0.0,28,1
250.24,0.0,270,0
7.04,0.0,55,2
698.88,100.0,250,0
0.0,0.0,208,1
11.2129,0.0,28,2
50.24,0.0,232,1
5.4079999999999995,0.0,8,2
39.0361,0.0,179,1
10.506,0.0,22,1
5.46185,100.0,27,2
7.168,100.0,68,2
5.3759999999999994,0.0,949,1
6.272,0.0,107,0
351.197,0.0,250,0
14.1044,0.0,493,2
10.666699999999999,100.0,10,2
5.152,0.0,6,2
297.664,0.0,249,0
10.56,0.0,16,2
781.44,138.816,335,0
417.414,0.0,500,0
50.304,0.0,180,1
0.0,0.0,750,0
500.434,0.0,500,0
990.88,0.0,983,0
15.935999999999998,0.0,7,2
451.872,0.0,502,0
77.568,0.0,498,0
678.297,0.0,1000,0
22.976,0.0,252,1
288.16,100.0,502,0
158.624,100.0,250,0
16.192,0.0,136,2
57.156600000000005,0.0,90,1
124.256,0.0,251,1
242.37800000000001,100.0,500,0
32.6104,0.0,368,1
21.248,0.0,352,2
47.424,0.0,58,1
16.0321,0.0,14,1
12.2088,100.0,39,2
21.663999999999998,0.0,79,2
70.176,0.0,239,1
22.72,0.0,59,2
0.0,0.0,500,0
210.41000000000003,0.0,347,0
16.4498,0.0,36,2
48.896,100.0,88,1
5.46185,0.0,7,2
59.136,0.0,62,2
36.3695,0.0,73,1
21.8153,0.0,38,2
491.232,0.0,500,0
20.8,100.0,16,2
49.408,100.0,70,1
58.368,0.0,41,1
53.494,100.0,227,1
10.624,0.0,9,2
21.472,0.0,92,2
15.5181,100.0,77,2
10.666699999999999,100.0,14,2
123.904,100.0,500,0
10.911999999999999,0.0,12,2
26.048000000000002,0.0,291,1
21.024,0.0,39,1
17.152,0.0,364,2
32.192,100.0,48,1
804.672,100.0,250,0
363.245,0.0,750,0
0.0,0.0,498,0
11.6305,0.0,53,2
0.0,0.0,750,1
8.0,100.0,9,2
5.152,0.0,9,2
161.703,0.0,250,0
56.928,0.0,48,1
54.656000000000006,100.0,121,1
12.895999999999999,100.0,80,2
1018.21,100.0,542,0
6.816,0.0,52,2
15.8394,0.0,23,2
229.024,100.0,500,0
0.0,0.0,750,0
143.35999999999999,0.0,500,0
11.008000000000001,100.0,20,2
52.576,100.0,80,1
989.856,100.0,624,0
43.36,0.0,176,1
710.784,0.0,750,0
563.116,100.0,747,0
86.592,0.0,500,0
10.624,0.0,22,2
220.54399999999998,0.0,500,0
20.0,0.0,156,1
46.112,0.0,362,1
25.215999999999998,100.0,51,2
17.2209,0.0,45,2
10.304,0.0,31,2
6.08,0.0,22,2
34.88,0.0,154,1
0.0,0.0,250,0
11.2,0.0,60,2
0.0,0.0,250,0
33.056000000000004,0.0,93,1
5.312,0.0,32,2
15.168,0.0,103,2
237.792,0.0,189,0
5.33333,0.0,4,2
16.2892,0.0,17,2
55.168,100.0,84,1
72.96,0.0,143,1
10.624,0.0,9,2
974.2650000000001,0.0,509,0
22.7149,0.0,43,2
17.312,0.0,70,2
11.2129,0.0,29,2
21.9116,0.0,129,2
15.935999999999998,0.0,14,2
0.0,0.0,380,1
762.624,0.0,301,0
16.544,0.0,20,2
0.0,0.0,188,2
8.319999999999999,0.0,38,2
26.152600000000003,100.0,33,1
5.824,0.0,6,2
91.36,0.0,498,0
18.048000000000002,0.0,146,2
276.96,100.0,500,0
10.666699999999999,0.0,8,2
23.904,0.0,107,2
0.0,0.0,500,1
32.0321,0.0,29,2
1029.02,0.0,924,0
56.832,0.0,316,1
26.688,0.0,26,2
25.51,0.0,72,1
26.304000000000002,0.0,251,2
26.656,0.0,21,2
989.9200000000001,0.0,473,0
41.216,0.0,36,1
444.864,100.0,250,0
0.0,0.0,888,1
0.0,100.0,500,2
37.5904,0.0,369,2
16.384,0.0,10,2
38.623999999999995,100.0,71,1
16.032,0.0,21,2
565.696,100.0,250,0
56.672,0.0,44,1
310.30400000000003,0.0,201,0
576.6750000000001,100.0,264,0
16.4177,0.0,15,2
24.0964,0.0,250,0
0.0,0.0,500,1
15.872,0.0,19,2
21.28,0.0,43,1
5.28,0.0,3,2
179.072,0.0,191,0
42.2811,100.0,30,1
10.592,100.0,22,2
10.56,0.0,87,2
57.728,0.0,433,1
47.552,0.0,103,1
0.0,0.0,500,1
205.72799999999998,0.0,176,0
985.9839999999999,100.0,478,0
567.8720000000001,100.0,250,0
16.992,100.0,188,2
68.9157,0.0,302,0
16.0,0.0,54,2
5.42972,0.0,6,2
11.3735,100.0,50,2
10.687999999999999,0.0,8,2
24.416,0.0,153,2
52.0482,0.0,52,1
23.232,0.0,92,1
32.768,0.0,54,1
259.2,100.0,305,0
27.744,100.0,164,2
33.184,0.0,50,2
59.839999999999996,100.0,64,1
27.264,0.0,149,1
60.4016,0.0,522,1
17.248,0.0,84,2
17.888,0.0,188,2
12.1767,100.0,64,2
88.0,0.0,220,1
17.6,100.0,54,2
992.707,0.0,579,0
5.343999999999999,0.0,8,2
